antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"unknown, computers.components.videocards, computers.components.motherboard","computers.components.power_supply, computers.components.cpu",0.014653390944955852,0.0187863986473793,0.011083975201953785,0.7564102564102564,40.26371794871795,1.0,0.010808690758125947,4.028140047658127,0.9896657026061948,0.495798319327731,0.751746466565536,0.6732051282051281
"computers.components.power_supply, computers.components.cpu","unknown, computers.components.videocards, computers.components.motherboard",0.0187863986473793,0.014653390944955852,0.011083975201953785,0.59,40.26371794871795,1.0,0.010808690758125947,2.4032844123293757,0.9938343117307087,0.495798319327731,0.5839027645376549,0.6732051282051281
"computers.components.power_supply, computers.components.motherboard","computers.components.cpu, unknown, computers.components.videocards",0.0187863986473793,0.015592710877324816,0.011083975201953785,0.59,37.83819277108434,1.0,0.010791044319419033,2.4009933881040855,0.9922117621861583,0.4758064516129031,0.5835057251908397,0.6504216867469879
"computers.components.cpu, unknown, computers.components.videocards","computers.components.power_supply, computers.components.motherboard",0.015592710877324816,0.0187863986473793,0.011083975201953785,0.7108433734939759,37.83819277108433,1.0,0.010791044319419033,3.393363704677813,0.9889927545607451,0.4758064516129031,0.7053071562528113,0.6504216867469879
"computers.components.cpu, computers.components.videocards, computers.components.motherboard","computers.components.power_supply, unknown",0.019913582566222054,0.015592710877324816,0.011083975201953785,0.5566037735849056,35.69640827460787,1.0,0.010773468466466948,2.220152609510714,0.9917349733433397,0.45384615384615373,0.5495805127466513,0.6337235735394408
"computers.components.power_supply, unknown","computers.components.cpu, computers.components.videocards, computers.components.motherboard",0.015592710877324816,0.019913582566222054,0.011083975201953785,0.7108433734939759,35.69640827460786,1.0,0.010773468466466948,3.3894655269584817,0.9873819381550006,0.45384615384615373,0.7049682340633379,0.6337235735394408
"computers.components.power_supply, computers.components.cpu, computers.components.videocards","unknown, computers.components.motherboard",0.014841254931429645,0.02216795040390757,0.011083975201953785,0.7468354430379747,33.68987341772152,1.0,0.010754974998702104,3.8624365959045646,0.984935163996949,0.4275362318840579,0.7410960736390276,0.6234177215189873
"unknown, computers.components.motherboard","computers.components.power_supply, computers.components.cpu, computers.components.videocards",0.02216795040390757,0.014841254931429645,0.011083975201953785,0.5,33.68987341772152,1.0,0.010754974998702104,1.9703174901371407,0.9923150816522575,0.4275362318840579,0.49246758199847446,0.6234177215189873
"computers.components.power_supply, computers.components.cpu, unknown","computers.components.videocards, computers.components.motherboard",0.014465526958482059,0.02329513432275033,0.011083975201953785,0.7662337662337662,32.89243820695433,1.0,0.010746998808406578,4.178126369841567,0.9838294875191428,0.4154929577464788,0.7606582684482279,0.6210201089233347
"computers.components.videocards, computers.components.motherboard","computers.components.power_supply, computers.components.cpu, unknown",0.02329513432275033,0.014465526958482059,0.011083975201953785,0.4758064516129032,32.89243820695433,1.0,0.010746998808406578,1.880096533186896,0.9927235028900603,0.4154929577464788,0.46811241744862436,0.6210201089233347
